HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7005.29.25.00","3","Measuring 10 mm or more in thickness","[""m<sup>2<\/sup>""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7005.30.00.00","1","Wired glass","[""m<sup>2<\/sup>""]","29.1¢/m<sup>2</sup>","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$2.48/m<sup>2</sup>","",""
"7006.00","0","Glass of heading 7003, 7004 or 7005, bent, edge-worked, engraved, drilled, enameled or otherwise worked, but not framed or fitted with other materials:","","","","","",""
"7006.00.10.00","1","Strips not over 15.2 cm in width, measuring over 2 mm in thickness, and having all longitudinal edges ground or otherwise smoothed or processed","[""m<sup>2<\/sup>""]","8.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","53%","",""
"","1","Other:","","","","","",""
"7006.00.20.00","2","Glass, drawn or blown and not containing wire netting and not surface ground or polished","[""m<sup>2<\/sup>""]","6.4%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7006.00.40","2","Other","","4.9%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7006.00.40.10","3","Having an absorbent or reflecting layer","[""m<sup>2<\/sup>""]","","","","",""
"7006.00.40.50","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"7007","0","Safety glass, consisting of toughened (tempered) or laminated glass:","","","","","",""
"","1","Toughened (tempered) safety glass:","","","","","",""
"7007.11.00","2","Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels","","5.5%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7007.11.00.10","3","For motor vehicles of chapter 87","[""m<sup>2<\/sup>""]","","","","",""
"7007.11.00.90","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"7007.19.00.00","2","Other","[""m<sup>2<\/sup>""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","1","Laminated safety glass:","","","","","",""
"7007.21","2","Of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels:","","","","","",""
"7007.21.11","3","Windshields","","4.9%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7007.21.11.10","4","For motor vehicles of chapter 87","[""m<sup>2<\/sup>""]","","","","",""
"7007.21.11.90","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"7007.21.51.00","3","Other","[""m<sup>2<\/sup>""]","4.9%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7007.29.00.00","2","Other","[""m<sup>2<\/sup>""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7008.00.00.00","0","Multiple-walled insulating units of glass","[""No.""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7009","0","Glass mirrors, whether or not framed, including rear-view mirrors:","","","","","",""
"7009.10.00.00","1","Rear-view mirrors for vehicles","[""No.""]","3.9%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","1","Other:","","","","","",""
"7009.91","2","Unframed:","","","","","",""
"7009.91.10","3","Not over 929 cm<sup>2</sup> in reflecting area","","7.8%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7009.91.10.10","4","Containing LED or fluorescent lighting","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.91.10.90","4","Other","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.91.50","3","Over 929 cm<sup>2</sup> in reflecting area","","6.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.25% (JP)","45%","",""
"7009.91.50.10","4","Containing LED or fluorescent lighting","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"","4","Other:","","","","","",""
"7009.91.50.91","5","Over-the-door mirrors of a kind described in statistical note 2 to this chapter","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.91.50.95","5","Other","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.92","2","Framed:","","","","","",""
"7009.92.10","3","Not over 929 cm<sup>2</sup> in reflecting area","","7.8%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"7009.92.10.10","4","Containing LED or fluorescent lighting","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.92.10.90","4","Other","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.92.50","3","Over 929 cm<sup>2</sup> in reflecting area","","6.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.25% (JP)","45%","",""
"7009.92.50.10","4","Containing LED or fluorescent lighting","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"","4","Other:","","","","","",""
"7009.92.50.91","5","Over-the-door mirrors of a kind described in statistical note 2 to this chapter","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7009.92.50.95","5","Other","[""cm<sup>2<\/sup>"",""No.""]","","","","",""
"7010","0","Carboys, bottles, flasks, jars, pots, vials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass:","","","","","",""
"7010.10.00.00","1","Ampoules","[""gross""]","Free","","50¢/gross","",""
"7010.20","1","Stoppers, lids and other closures:","","","","","",""
"7010.20.20.00","2","Produced by automatic machine","[""gross""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7010.20.30.00","2","Other","[""gross""]","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"7010.90","1","Other:","","","","","",""
"7010.90.05","2","Serum bottles, vials and other pharmaceutical containers","","Free","","50¢/gross","",""
"7010.90.05.10","3","Of a capacity exceeding 1 liter","[""gross""]","","","","",""
"7010.90.05.20","3","Of a capacity exceeding 0.33 liter but not exceeding 1 liter","[""gross""]","","","","",""
"7010.90.05.30","3","Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter","[""gross""]","","","","",""
"7010.90.05.40","3","Of a capacity not exceeding 0.15 liter","[""gross""]","","","","",""
"","2","Containers (with or without their closures) of a kind used for the conveyance or packing of perfume or other toilet preparations; other containers if fitted with or designed for use with ground glass stoppers:","","","","","",""
"7010.90.20","3","Produced by automatic machine","","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7010.90.20.10","4","Of a capacity exceeding 1 liter","[""gross""]","","","","",""
"7010.90.20.20","4","Of a capacity exceeding 0.33 liter but not exceeding 1 liter","[""gross""]","","","","",""
"7010.90.20.30","4","Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter","[""gross""]","","","","",""
"7010.90.20.40","4","Of a capacity not exceeding 0.15 liter","[""gross""]","","","","",""
"7010.90.30","3","Other","","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"7010.90.30.10","4","Of a capacity exceeding 1 liter","[""gross""]","","","","",""
"7010.90.30.20","4","Of a capacity exceeding 0.33 liter but not exceeding 1 liter","[""gross""]","","","","",""
"7010.90.30.30","4","Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter","[""gross""]","","","","",""
"7010.90.30.40","4","Of a capacity not exceeding 0.15 liter","[""gross""]","","","","",""
"7010.90.50","2","Other containers (with or without their closures)","","Free","","4.9%","",""
"","3","Of a capacity exceeding 1 liter:","","","","","",""
"7010.90.50.05","4","Having a mouth with an outer diameter of <il>38 mm</il> or more","[""gross""]","","","","",""
"7010.90.50.09","4","Other","[""gross""]","","","","",""
"","3","Of a capacity exceeding 0.473 liter but not exceeding 1 liter:","","","","","",""
"7010.90.50.15","4","Having a mouth with an outer diameter of <il>38 mm</il> or more","[""gross""]","","","","",""
"7010.90.50.19","4","Other","[""gross""]","","","","",""
"","3","Of a capacity exceeding 0.33 liter but not exceeding 0.473 liter:","","","","","",""
"7010.90.50.25","4","Having a mouth with an outer diameter of <il>38 mm</il> or more","[""gross""]","","","","",""
"7010.90.50.29","4","Other","[""gross""]","","","","",""
"","3","Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter:","","","","","",""
"7010.90.50.35","4","Having a mouth with an outer diameter of <il>38 mm</il> or more","[""gross""]","","","","",""
"7010.90.50.39","4","Other","[""gross""]","","","","",""
"","3","Of a capacity exceeding 0.118 liter but not exceeding 0.15 liter:","","","","","",""
"7010.90.50.45","4","Having a mouth with an outer diameter of <il>38 mm</il> or more","[""gross""]","","","","",""
"7010.90.50.49","4","Other","[""gross""]","","","","",""
"7010.90.50.55","3","Of a capacity not exceeding 0.118 liter","[""gross""]","","","","",""
"7011","0","Glass envelopes (including bulbs and tubes), open, and glass parts thereof, without fittings, for electric lamps and light sources, cathode-ray tubes or the like:","","","","","",""
"7011.10","1","For electric lighting:","","","","","",""
"7011.10.10.00","2","Bulbs for incandescent lamps","[""hundreds""]","Free","","20%","",""
"7011.10.50.00","2","Other","[""hundreds""]","4.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"7011.20","1","For cathode-ray tubes:","","","","","",""
"7011.20.10.00","2","Cones","[""hundreds""]","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","2","Other:","","","","","",""
"7011.20.45.00","3","Monochrome glass envelopes, the foregoing certified by the importer as being for actual use in automatic data processing machine data or graphic display cathode ray tubes","[""hundreds""]","Free","","55%","",""
"7011.20.85","3","Other","","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","4","Front panels for cathode-ray television picture tubes, including video monitor tubes, color, non-projection:","","","","","",""
"7011.20.85.10","5","With greatest diagonal measurement not exceeding <il>50 cm</il>","[""hundreds""]","","","","",""
"7011.20.85.25","5","Other","[""hundreds""]","","","","",""
"7011.20.85.40","4","Other","[""hundreds""]","","","","",""
"7011.90.00.00","1","Other","[""hundreds""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"7013","0","Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018):","","","","","",""
"7013.10","1","Of glass-ceramics:","","","","","",""
"7013.10.10.00","2","Kitchenware, non-glazed, greater than 75 percent by volume crystalline, of lithium aluminosilicate, having a linear coefficient of expansion not exceeding 10 x 10<sup>-7</sup> per Kelvin within a temperature range of 0˚C to 300˚C, transparent, haze-free, exhibiting transmittances of infrared radiations in excess of 75 percent at a wavelength of 2.5 microns when measured on a sample 3 mm in thickness, and containing β-quartz solid solution as the predominant crystal phase","[""No.""]","6.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"7013.10.50.00","2","Other","[""No.""]","26%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75%","",""
"","1","Stemware drinking glasses, other than of glass-ceramics:","","","","","",""
"7013.22","2","Of lead crystal:","","","","","",""
"7013.22.10.00","3","Valued not over $1 each","[""No.""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.22.20.00","3","Valued over $1 but not over $3 each","[""No.""]","14%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.22.30.00","3","Valued over $3 but not over $5 each","[""No.""]","7.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"7013.22.50.00","3","Valued over $5 each","[""No.""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.28","2","Other:","","","","","",""
"7013.28.05.00","3","Pressed and toughened (specially tempered)","[""No.""]","12.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","3","Other:","","","","","",""
"7013.28.10.00","4","Valued not over $0.30 each","[""No.""]","28.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM,P,PA, PE,S,SG)","60%","",""
"7013.28.20","4","Valued over $0.30 but not over $3 each","","22.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","60%","",""
"7013.28.20.10","5","Crystalline or non-lead crystal","[""No.""]","","","","",""
"7013.28.20.90","5","Other","[""No.""]","","","","",""
"","4","Valued over $3 each:","","","","","",""
"","5","Cut or engraved","","","","","",""
"7013.28.30.00","6","Valued over $3 but not over $5 each","[""No.""]","11.3%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.28.40.00","6","Valued over $5 each","[""No.""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"","5","Other:","","","","","",""
"7013.28.50","6","Valued over $3 but not over $5 each","","7.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.28.50.10","7","Crystalline or non-lead crystal","[""No.""]","","","","",""
"7013.28.50.90","7","Other","[""No.""]","","","","",""
"7013.28.60","6","Valued over $5 each","","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.28.60.10","7","Crystalline or non-lead crystal","[""No.""]","","","","",""
"7013.28.60.90","7","Other","[""No.""]","","","","",""
"","1","Other drinking glasses, other than of glass-ceramics:","","","","","",""
"7013.33","2","Of lead crystal:","","","","","",""
"7013.33.10.00","3","Valued not over $1 each","[""No.""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.33.20.00","3","Valued over $1 but not over $3 each","[""No.""]","14%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.33.30.00","3","Valued over $3 but not over $5 each","[""No.""]","7.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PE,S,SG)","60%","",""
"7013.33.50.00","3","Valued over $5 each","[""No.""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.37","2","Other:","","","","","",""
"7013.37.05.00","3","Pressed and toughened (specially tempered)","[""No.""]","12.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","3","Other:","","","","","",""
"7013.37.10.01","4","Valued not over $0.30 each","[""No.""]","28.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"7013.37.20","4","Valued over $0.30 but not over $3 each","","22.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","60%","",""
"7013.37.20.10","5","Crystalline or non-lead crystal","[""No.""]","","","","",""
"7013.37.20.90","5","Other","[""No.""]","","","","",""
"","4","Valued over $3 each:","","","","","",""
"","5","Cut or engraved:","","","","","",""
"7013.37.30.00","6","Valued over $3 but not over $5 each","[""No.""]","11.3%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.37.40.00","6","Valued over $5 each","[""No.""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","60%","",""
"","5","Other:","","","","","",""
"7013.37.50","6","Valued over $3 but not over $5 each","","7.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.37.50.10","7","Crystalline or non-lead crystal","[""No.""]","","","","",""
"7013.37.50.90","7","Other","[""No.""]","","","","",""
"7013.37.60","6","Valued over $5 each","","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.37.60.10","7","Crystalline or non-lead crystal","[""No.""]","","","","",""
"7013.37.60.90","7","Other","[""No.""]","","","","",""
"","1","Glassware of a kind used for table (other than drinking glasses) or kitchen purposes, other than of glass-ceramics:","","","","","",""
"7013.41","2","Of lead crystal:","","","","","",""
"7013.41.10.00","3","Valued not over $1 each","[""No.""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.41.20.00","3","Valued over $1 but not over $3 each","[""No.""]","14%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.41.30.00","3","Valued over $3 but not over $5 each","[""No.""]","10.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.41.50.00","3","Valued over $5 each","[""No.""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"7013.42","2","Of glass having a linear coefficient of expansion not exceeding 5 x 10<sup>-6</sup> per Kelvin within a temperature range of <il>0˚C to 300˚C:</il>","","","","","",""
